"","category","item","price1","price2","price3","price4"
"1","PICOTEO","Almendras – Salted Navarran Almonds.....................................................................................................................................................................","3","","",""
"2","PICOTEO","Aceitunas – Gordal olives .......................................................................................................................................................................................................","3","","",""
"3","PICOTEO","Pan Gallego – Galician bread with olive oil or alioli .....................................................................................................................................","3.5","","",""
"4","PICOTEO","Pan Tomaca – Bread with tomato .............................................................................................................................................................................","3.75","","",""
"5","PICOTEO","Pimentos de Padron – Padron peppers ........................................................................................................................................................................","6","","",""
"6","PICOTEO","Matrimonio Anchoa y Boqueron – Cured & marinated anchovies .........................................................................................................","7","","",""
"7","CHARCUTERIE","Cecina – Air Cured Beef ...............................................................................................................................................per 50/100g","8.95/16.95","","",""
"8","CHARCUTERIE","Jamon Iberico – Cured Iberico Ham .................................................................................................................per 50/100g","15.95/29.95","","",""
"9","CHARCUTERIE","Lacon – Cooked Iberico Ham .................................................................................................................................................................per100g","9.95","","",""
"10","CHARCUTERIE","Embutitos de Ibericos – Selection of Cured Meats ................................................................................................................................","14.95","","",""
"11","CHARCUTERIE","Tabla de Quesos – Cheese Board ............................................................................................................................................................................","12.95","","",""
"12","RACIONES","Calamar a la Plancha – Grilled squid with roasted garlic sauce .....................................................................................................","12.95","","",""
"13","RACIONES","Pulpo a Feira – Octopus Galician style .............................................................................................................................................................","11.25","","",""
"14","RACIONES","Gambas a la Sidra – Sauteed prawns with Asturian cider ................................................................................................................","10.95","","",""
"15","RACIONES","Carpaccio de Bacalao – Carpaccio of salted cod .............................................................................................................................................","8.95","","",""
"16","RACIONES","Croquetas de Temporada – Seasonal croquetas ..............................................................................................................................................","7.95","","",""
"17","RACIONES","Secreto Iberico – Grilled Iberico pork with apple sauce ........................................................................................................................","12.95","","",""
"18","RACIONES","Parrillada de Embutidos – Grilled Spanish sausages .............................................................................................................................","10.95","","",""
"19","RACIONES","Conejo al Ajillo – Fried Rabbit with Garlic & Honey ........................................................................................................................","13.95","","",""
"20","RACIONES","Tortilla de Bacalao – Salted cod tortilla .................................................................................................................................................................","7.25","","",""
"21","RACIONES","Esparragos a la Plancha – Grilled asparagus with romesco sauce ......................................................................................................","7.50","","",""
"22","Carnes","Txuleton – Bone in rib of Galician beef – 500g / 1kg sharing cuts only .........................................................per 100g","8.50","","",""
"23","Carnes","Beef Cut of the Day – Check with the server for chefs daily cut ..............................................................................per100g","Server","","",""
"24","Carnes","Pollo a la Brasa – Grilled marinated whole baby chicken with white cabbage and honey .................................................","18.95","","",""
"25","Carnes","Cochinillo – Segovian Pig……. Whole (5kg) or Half (2.5kg)………………………………………….................","120/","200","",""
"26","Carnes","Lechazo – Suckling Lamb Leg from Segovia served with Patatas Panadeiras…. …………………………………………..","28.95","","",""
"27","Pescados","Pescado a la Bilbaina – Grilled whole fish with herb dressing ......................................................................................per 100g","6.00","","",""
"28","Pescados","Merluza con salsa de Txacoli – Fillets of hake with white wine sauce ..........................................................................................","18.95","","",""
"29","Pescados","Turbot – Whole fish served on the bone……………………………………………………………………………………………..……per 100g","7.00","","",""
"30","Arroces","Arroz del Senorito – Seafood rice meloso or caldoso style (min 2 persons, allow 25 min) ...................per person","15","","",""
"31","ENSALADAS y VERDURAS","Calabacin – Courgette salad with Idiazabal Cheese ......................................................................................................................................","7.95","","",""
"32","ENSALADAS y VERDURAS","Tomate y Atun – Tomato & tuna salad...............................................................................................................................................................","6.95","","",""
"33","ENSALADAS y VERDURAS","Verde – Mix green salad ................................................................................................................................................................................................","4.95","","",""
"34","ENSALADAS y VERDURAS","Patatas Riojanas – Potatoes Riojana style............................................................................................................................................................","6.95","","",""
"35","ENSALADAS y VERDURAS","Setas – Sauteed wild mushrooms ...............................................................................................................................................................................","5.95","","",""
"36","ENSALADAS y VERDURAS","Alcachofas con Jamon – Artichoke and Iberico ham ...................................................................................................................................","6.95","","",""
"37","ENSALADAS y VERDURAS","Habas con Jamon – Broad beans & Iberico ham ...........................................................................................................................................","4.95","","",""
